Country,ISO3,Population,ForeignBornPop,ForeignBornPercent,UrbanPercent,Urbanization,Mliteracy,Fliteracy,LiteracyDif,GDP,MedianAge,YUnemployment,PopGrowth
Guatemala,GTM,16342897,,0,51.6,3.4,87.4,76.3,11.1,3903.483193,21.7,7.5,1.79
Libya,LBY,6278438,,0,78.6,1.13,96.7,85.6,11.1,5488.168285,28.5,,1.8
Iraq,IRQ,36423395,,0,69.5,3.01,85.7,73.7,12,4509.024311,19.9,,2.87
Cameroon,CMR,23344179,,0,54.4,3.6,81.2,68.9,12.3,1217.261615,18.5,,2.58
Sao Tome and Principe,STP,190344,2637,1.39,65.1,3.58,81.8,68.4,13.4,1752.771108,18.2,,1.78
"Congo, Rep.",COG,4620330,,0,65.4,3.22,86.4,72.9,13.5,1838.101266,19.7,,2.06
Burkina Faso,BFA,18105570,613662,3.39,29.9,5.87,43,29.3,13.7,611.1328769,17.2,3.8,3.01
Uganda,UGA,39032383,390115,1,16.1,5.43,85.3,71.5,13.8,647.7156633,15.7,5.4,3.22
Cambodia,KHM,15577899,,0,20.7,2.65,84.5,70.5,14,1158.689904,24.9,3.4,1.56
Algeria,DZA,39666519,119702.9676,0.3,70.7,2.77,87.2,73.1,14.1,4154.118319,27.8,22.4,1.77
Lao PDR,LAO,6802023,,0,38.6,4.93,87.1,72.8,14.3,1850.213825,22.7,,1.53
Malawi,MWI,17215232,210428,1.22,16.3,3.77,73,58.6,14.4,372.9142414,16.5,,3.32
Sudan,SDN,40234882,,0,33.8,2.54,83.3,68.6,14.7,1977.03617,19.6,,1.69
Zambia,ZMB,16211767,,0,40.9,4.32,70.9,56,14.9,1311.098995,16.7,23.4,2.94
Guinea,GIN,12608590,162147,1.29,37.2,3.82,38.1,22.8,15.3,703.8733999,18.8,,2.62
Tunisia,TUN,11107800,,0,66.8,1.38,89.6,74.2,15.4,3660.934197,32.4,42.3,0.86
Ethiopia,ETH,99390750,,0,19.5,4.89,57.2,41.1,16.1,602.8401673,17.8,24.9,2.88
"Gambia, The",GMB,1990924,,0,59.6,4.33,63.9,47.6,16.3,473.1628429,20.7,,2.11
Niger,NER,19899120,,0,18.7,5.14,27.3,11,16.3,358.9581475,15.3,,3.22
"Egypt, Arab Rep.",EGY,91508084,184679,0.2,43.1,1.68,82.2,65.4,16.8,3452.340848,23.8,24.8,2.53
Eritrea,ERI,6330000,,0,22.6,5.11,82.4,65.5,16.9,914.8745712,19.4,,0.81
Bhutan,BTN,774830,37322,4.82,38.6,3.69,73.1,55,18.1,2677.093084,27.2,7.2,1.09
Comoros,COM,788474,,0,28.3,2.67,91.9,73.7,18.2,1368.853937,19.6,,1.71
Lesotho,LSO,2135022,3876,0.18,27.3,3.05,70.1,88.3,18.2,940.5965241,24,34.4,0.3
Mali,MLI,17599694,,0,39.9,5.08,48.2,29.2,19,744.3460966,16.2,,2.96
Nigeria,NGA,182201962,,0,47.8,4.66,69.2,49.7,19.5,2714.474633,18.3,,2.44
